"name","price","url"
"Apresentador Laserpoint R400 Logitech","R$ 179,90","https://www.portinfo.com.br/produto/apresentador-laserpoint-r400-logitech-1396"
"Apresentador Multilaser Laser Point 200M 2.4Ghz Preto AC285","R$ 109,90","https://www.portinfo.com.br/produto/apresentador-multilaser-laser-point-200m-24ghz-preto-ac285-6047"
"Autotransformador Force Line 1500VA Bi Slim Premium","R$ 187,90","https://www.portinfo.com.br/produto/autotransformador-force-line-1500va-bi-slim-premium-9023"
"Autotransformador Force Line 2000VA","R$ 265,90","https://www.portinfo.com.br/produto/autotransformador-force-line-2000va-1863"
"Autotransformador Force Line 2000VA Bi Slim Premium","R$ 209,90","https://www.portinfo.com.br/produto/autotransformador-force-line-2000va-bi-slim-premium-6580"
"Base Para Notebook C3 Tech Cooler 15,6 Nbc 01Bk","R$ 43,90","https://www.portinfo.com.br/produto/base-para-notebook-c3-tech-cooler-156-nbc-01bk-5379"
"Bateria Auditiva Panasonic Zinco Ar 1,4V 130Mah 6 Un.","R$ 28,90","https://www.portinfo.com.br/produto/bateria-auditiva-panasonic-zinco-ar-14v-130mah-6-un-3090"
"Bateria Auditiva Panasonic Zinco Ar 1,4V 63Mah 6 Un.","R$ 16,50","https://www.portinfo.com.br/produto/bateria-auditiva-panasonic-zinco-ar-14v-63mah-6-un-3091"
"Bateria Duracell Alcalina 9V","R$ 36,90","https://www.portinfo.com.br/produto/bateria-duracell-alcalina-9v-5484"
"Bateria Elgin Alcalina 12V A23 5 Un.","R$ 17,90","https://www.portinfo.com.br/produto/bateria-elgin-alcalina-12v-a23-5-un-2990"
"Bateria Elgin Alcalina 9V","R$ 10,90","https://www.portinfo.com.br/produto/bateria-elgin-alcalina-9v-507"
"Bateria Elgin Alcalina Litio LR44 10 Un.","R$ 6,90","https://www.portinfo.com.br/produto/bateria-elgin-alcalina-litio-lr44-10-un-515"
"Bateria Elgin Lithium 5 Un. CR2016","R$ 8,90","https://www.portinfo.com.br/produto/bateria-elgin-lithium-5-un-cr2016-1382"
"Bateria Elgin Lithium 5 Un. CR2025","R$ 8,90","https://www.portinfo.com.br/produto/bateria-elgin-lithium-5-un-cr2025-1383"
"Bateria Elgin Lithium 5 Un. CR2032","R$ 7,90","https://www.portinfo.com.br/produto/bateria-elgin-lithium-5-un-cr2032-513"
"Bateria Panasonic Alcalina 12V","R$ 9,90","https://www.portinfo.com.br/produto/bateria-panasonic-alcalina-12v-38"
"Bateria Panasonic Alcalina 9V","R$ 13,90","https://www.portinfo.com.br/produto/bateria-panasonic-alcalina-9v-37"
"Bateria Panasonic Lithium 3V 5 Un.","R$ 20,90","https://www.portinfo.com.br/produto/bateria-panasonic-lithium-3v-5-un-43"
"Bateria Panasonic Lithium 3V Cr2025 5 Un.","R$ 22,90","https://www.portinfo.com.br/produto/bateria-panasonic-lithium-3v-cr2025-5-un-9410"
"Bateria Panasonic Lithium 5 Un.","R$ 18,90","https://www.portinfo.com.br/produto/bateria-panasonic-lithium-5-un-42"
"Bateria Recarregável Elgin 9V","R$ 39,90","https://www.portinfo.com.br/produto/bateria-recarregavel-elgin-9v-1616"
"Bolsa Crinkle Luxcel Preta","R$ 99,90","https://www.portinfo.com.br/produto/bolsa-crinkle-luxcel-preta-4953"
"Bolsa Crinkle Luxcel Vinho","R$ 99,90","https://www.portinfo.com.br/produto/bolsa-crinkle-luxcel-vinho-4995"
"Bolsa Feminina Luxcel Vinho","R$ 169,00","https://www.portinfo.com.br/produto/bolsa-feminina-luxcel-vinho-8077"
"Bolsa Pacific Transversal Lilica Ripilica It Crush","R$ 89,90","https://www.portinfo.com.br/produto/bolsa-pacific-transversal-lilica-ripilica-it-crush-10648"
"Bolsa Targus Newsport East-West 15","R$ 999,90","https://www.portinfo.com.br/produto/bolsa-targus-newsport-east-west-15-pol-5282"
